,company,keyword
20,리벨리온,"['AI반도체', '인공신경망 알고리즘', '반도체 설계', '학습용 반도체', '인공지능(AI) 반도체', 'AI', '주문형반도체', '펩리스 반도체', 'AI 반도체']"
21,리턴제로,"['음성인식 AI 기술', '인공지능 음성인식', 'STT 기술', '음성인식 엔진', '토픽트레커', 'AI', '머신러닝', 'AI 음성인식']"
22,리플에이아이,"['기계학습', '컴퓨터 비전', '노이즈 제거', '자동 요약', '음성구간 추출', 'NLP', '영상 분석', '텍스트 요약', '자연어처리', '인공지능']"
23,마이셀럽스,"['취향 순위', '댓글', '실시간 AI 스타 포털', '호텔', '키워드', '소셜 지수', 'AI 검색', '추천 엔진', '트렌드 분석', 'AI 취향 추천', '여행', '뷰티', '가격비교', '스타 포털', '스타 포털서비스', '추천', '팬', '소셜지수', '키토크', '소프트웨어', '팬활동', '취향', '스타', '뷰티 취향']"
24,마인즈랩,"['정보', 'AI회의', '챗봇', 'MRC', '텍스트 분류', 'AI 챗봇', '데이터', '데이터 가공', 'API', '데이터베이스', '인공인간', '챗GPT', 'ChatGPT', '클라우드', 'AI', 'BERT', '인공지능']"
25,마크비전,"['위조상품', '모니터링', '딥러닝', '공급', '네트워크', '이미지 인식', '위조상품 모니터링', '소프트웨어', 'AI', '개발', 'SaaS', '인공지능']"
26,마키나락스,"['응용 소프트웨어 개발', '딥러닝', 'ML', '강화학습', 'MLOps', 'AI']"
27,매스프레소,"['앱', '문제 풀이', '수학', '학습', '맞춤형 교육 컨텐츠', '사진', '학습 콘텐츠', '풀이', '학습 경험', '양방향 교육', 'AI 학습', '교육', '수학 문제', '수학 문제 풀이', 'AI', '맞춤형', '인공지능', '개인화', '수학 교육', '질문답변', '학생', '맞춤형 교육', '문제']"
28,메디픽셀,"['심혈관 질병 자동진단', '도구 제어', '개발', '컴퓨터 비전', '자동 분석', '자동진단', '의료기기', '심혈관질환 진단', '소프트웨어', 'AI', '로봇제어', 'CNN', '인공지능']"
29,모두의연구소,"['연구', 'AI 혁신학교 AIFFEL(아이펠)', '스토리 기반', 'LAB', '에듀테크', '교육', '풀잎스쿨', 'AI', '인공지능']"
30,모빌린트,"['시스템 반도체', '연구개발', 'Edge', '에지용 AI 반도체', 'AI반도체', '에지', '반도체', '에지용', '소프트웨어', 'SDK', '하드웨어', 'AI', '에지용 NPU', '전기전자', '풀스택', 'NPU', 'AI 반도체', '인공지능']"
31,모빌테크,"['디지털트윈', '3 차원 스캔', 'AI 자동 모델링', '스마트 시티', '딥러닝', '로봇', '3D 데이터', '드론', '영상분석', '센서 융합', '메타버스', '보안', 'AI', '데이터화인공지능', '자율주행', '3D 도시 데이터', '디지털 트윈']"
32,몰로코,"['애드테크', '광고 플랫폼', '모바일 자동 광고', '모바일 비즈니스', 'AI', '머신러닝', '빅데이터']"
33,베스텔라랩,"['최적·최단 경로 알고리즘', '스마트 주차', '동적 안전 지도', '측위 기술', '워치마일', 'V2I', 'AI', '동적 지도', '자율주행 V2I']"
34,보이저엑스,"['편집', '폰트 형태 제작', '스캔', '영상 편집', '영상', '이미지 변환', '폰트', '모바일 스캐너', 'AI', '손글씨', '인공지능']"
35,뷰노,"['AI 기반 진단', '심정지 예측', '의료 인공지능(AI)', '의료 인공지능']"
36,뷰메진,"['데이터 분석', '응용 소프트웨어 개발', 'AI Vision', '자율 비행 드론', '영상 편집', '딥러닝', 'AI 비전', '드론', '이미지 클라우드 전송', '자율주행 드론', '품질 관리 솔루션', 'AI', '원격 현장 관리', '안전점검 솔루션', '자율비행', '로보틱스', '인공지능']"
37,브이터치,"['가상 터치', '가상터치 패널', '공간터치', '터치스크린', '비접촉', '원거리', '스마트 시티', '가상터치', '제스처', '키오스크', '터치 조작', '허공터치', 'AI', '비접촉식', '터치', '공간 컴퓨팅']"
38,비주얼캠프,"['이상 징후 탐지', '딥러닝', '시선추적', '빅데이터 분석', 'AI', '시선 추적 기술']"
39,빅인사이트,"['마케팅 자동화 솔루션', '마케팅 자동화 술루션', '디지털 광고 자동화', '고객데이터 플랫폼', 'CRM', 'ERP', '고객 데이터 플랫폼', 'AI', '빅데이터', 'SaaS', '인공지능']"
40,서울로보틱스,"['3차원', '인지', '차량 위치 파악', '플랫폼', '에지 컴퓨터', 'ATI', 'Plug&Play', '3', '소프트웨어', 'IoT', '자율주행', '인공지능']"
41,셀렉트스타,"['앱', '레이블링', '데이터 수집', '빅데이터 분석', '학습데이터', 'NLP', '데이터 생산', '반자동 레이블링', '데이터 전처리', '학습용 데이터', '데이터셋', '크라우드소싱 리워딩', '학습 데이터', 'AI', '대화 분석', '크라우드소싱', '채팅', '인공지능', '자연어 처리', '크라우드 소싱', '혐오 표현', '데이터 가공', '데이터']"
42,솔루게이트,"['인공지능 스피커', '배송', '플랫폼', '유통', '연관어 분석', '특허', '물류', '요약', '자동화서비스', '기적처리', '해외배송', '키워드 분석', '마켓플레이스', '스마트메시지서비스', '대화형', '문자', 'API', 'AI', '사용자 인증', '콜상담 서비스', '성문인증', '인공지능', '개인화', '챗봇', '음성처리', '텍스트 분석', '개인화 서비스', '지식처리', '소프트웨어', '음성인식', '자연어처리', '자동화처리']"
43,수퍼빈,"['폐기물', '수거', '캔', '패트', '순환자원', '쓰레기', '순환자원 서비스', '플라스틱', '폐기물 관리', 'AI', '대량 생산', '페트병', '재활용품', '재활용', '인공지능']"
44,수호아이오,"['NFT', '컨트랙트', '거래', '거래 분석', '계약', '해킹', '시큐어코딩', '감사', 'NFT 보안 솔루션', '컨트랙트 자동 검증', '보안감사', '스마트 컨트랙트', '암호화폐', '컨트랙트 자동 분석', 'NFT 보안', '소프트웨어 보안', '블록체인', '소프트웨어', '보안']"
45,슈퍼브에이아이,"['인공지능 모델', 'MLOps', '라벨링', '자동화', '데이터 관리', '학습 데이터', 'DataOps', '소프트웨어', '데이터셋', '학습데이터', '개발', '머신러닝', 'AI', '인공지능']"
46,스누아이랩,"['오토케어', '머신비전', '응용 소프트웨어 개발', 'AI 영상보안 솔루션', '비전AI', '딥러닝', '영상관제 솔루션', '자동광학검사 솔루션', 'AI', '메타데이터화']"
47,스마트레이더시스템,"['4D 이미징 레이더', '스마트레이더시스템', '산업용 안전 라이다', '헬스케어', 'RaaS', '4D 이미징 레이다', '고해상도 4D 이미징 레이더', 'AI', '스마트시티', '자율주행', '스마트시티 애플리케이션', '인공지능']"
48,스켈터랩스,"['자연어생성', '비전 AI', 'TTS', 'MRC', '대화형 인공지능 AIQ챗봇', 'AICC', '동영상 내용 검색', '콜봇', '지식 기반', 'NLG', '대화형 AI', '보이스봇', '언어모델', 'AI', '개발', '기계독해', '자연어 이해', '챗봇', '디지털 전환', '음성합성', '텍스트 분석', '음성인식/합성', 'STT', 'NLU', '소프트웨어', '음성인식', '음성 합성']"
49,스타일봇,"['코디', '앱', '가상착용', '패션', '전자상거래', '소매업', '이미지 인식', '스타일리스트', '의류', '취향', 'AI', 'AI 코디', '인공지능']"
50,스탠다임,"['약물개발', '신약후보물질', '신약개발', '알고리즘', '약물', '소프트웨어', 'AI', '개발', '인공지능']"
51,스트라드비젼,"['첨단운전자보조시스템', '딥러닝', '영상 인식', '첨단 운전자 보조 시스템', '객체 인식', 'AI', '자율주행', '인공지능']"
52,스프링클라우드,"['자율주행 비용 계산', '모빌리티', '자율수행 모빌리티', '자율주행 모빌리티', 'AI', '자율주행', '자율주행 배송', '자율주행 셔틀']"
53,시어스랩,"['', 'Vision AI', '앱', '비전', '동영상', 'Vision', '셀프 카메라', 'AR', '콘텐츠', '비전 AI', '셀카 동영상', '온라인 콘서트', '셀카', 'AI', 'SaaS', 'Augmented Reality', '증강현실']"
54,신스타프리젠츠,"['자동', '트럭', '자동화 깃ㄹ', '조리', '푸드테크', '자동조리', '한식', '무인 자동화 키친', '무인', '키친 자동화']"
55,쓰리빌리언,"['연구개발', '바이오', '유전 검사', '약학', '신약', '유전체 데이터 분석', '의학', '진단', '진단검사', 'AI', '데이터 분석', '유전체 분석', '개발', '인공지능']"
56,쓰리아이,"['3D 이미지', '영상 편집', '오토 트래킹', '메타버스', 'AI', '원격 현장 관리', '디지털 트윈']"
57,씨앤에이아이,"['이미지 분석', '데이터 생성', '데이터 웨어하우스', '인공지능', '영상 생성', '비전', '메디컬 AI', 'AI합성', '이미지 생성', '메타버스', '이미지 인페인팅', 'AI', '합성데이터']"
58,아드리엘,"['애드테크', '마케팅 자동화', '스마트 광고']"
59,아이딕션,"['다이어터', '측정', '이커머스', '3D모델링', '신체 사이즈 측정', '헬스', '요가', '추천', 'SaaS']"
60,아이오크롭스,"['센서', '측정', '토양 수분 센서', '최적', '스마트팜', '재배', '재배 작물 무게 측정']"
61,아이지넷,"['인공지능 보험 진단', '추천 서비스', 'AI 보험 플랫폼', '애플리케이션', '진단', '마이데이터', '개인화', 'AI', '인공지능']"
62,아카에이아이,"['커뮤니케이션', '로봇', '데이터 가공', '엔진', '실시간 이미지 분석', '농업 재배 자동화 솔루션', 'AI', '영어교육', '인공지능']"
63,아크릴,"['챗봇', '빅테이터', '응용 소프트웨어', '데이터', '데이터 수집 및 분석', '의료 서비스', 'AI', '의료기관', '인공지능']"
64,아토리서치,"['데이터센터', '공공와이파이', '소프트웨어 정의 인프라', '공공 와이파이', '데이터 접근 격차', '네트워크', '에지 솔루션', '도시망', '서버', 'SDN', '스위치', 'WiFi', '스마트시티', 'SSID', 'SD-LAN', '소프트웨어 정의 데이터센터', '4차 산업', 'SD-WAN', '인프라', '와이파이', '광역 네트워크', 'ITS', '초연결망', '자가망', '소프트웨어 정의 네트워크', '컨트롤러', '디지털 환경', '소프트웨어', '보안', 'SDDC', 'NFC']"
65,악어디지털,"['BPO', '문서 전자화 O2O 서비스', '로봇 프로세스 자동화', '광학식 문자 인식', 'RPA', '문자인식', '문서전자화 술루션', '로봇', 'AI문자인식', '데이터', 'AI-OCR', 'AI 플랫폼', 'OCR', 'AI', '업무처리 아웃소싱', '대량 문서 전자화', '인공지능']"
66,알고리즘랩스,"['HR 솔루션', 'AI솔루션', '데이터', '유전학 알고리즘', 'NON 코딩 AI 활용 교육', 'AI 플랫폼', '노코딩 AI', 'AI', '인공지능']"
67,알세미,"['시스템', '딥러닝', '반도체설계자동화', '반도체', 'AI', '머신러닝', '인공지능']"
68,알체라,"['응용 소프트웨어 개발', '딥러닝', '출입관리 솔루션', '산불감지솔루션', '영상분석', '얼굴인식', 'B2C 서비스', 'AI', '영상인식 AI', '인공지능']"
69,알티엠,"['비전', '딥러닝', '자동검출', '시계열 데이터', 'AI', '머신러닝', '하이테크 제조업', '미세 반도체', '이상 탐지', '공정 분석']"
70,애자일소다,"['칩 설계', '요약', '강화 학습', '자동화', '의사결정', '강화학습', '문맥', '반도체', '최적화', '칩', 'OCR', 'AI', 'NLP', '소프트웨어', '분류', '의사결정 AI', '자연어처리', '인공지능']"
71,액션파워,"['음성 받아쓰기', 'AI 받아쓰기', '인공 지능', '음성', '동영상', '텍스트', '인공지능 받아쓰기', '핵심요약', '소프트웨어', '음성 인식', '음성인식', 'AI', '개발', '텍스트 자동변환', '인공지능']"
72,어반베이스,"['자동 모델링', '가상공간', '소프트웨어', '가상 시뮬레이션', 'AI', '자동 변환', '개발', '상품 추천', '증강현실']"
73,업라이즈,"['로보어드바이저', '가상자산', '재태크', 'D2C', '블록체인', '디지털자산', 'AI', '로보 어드아비저', '디지털 자산']"
74,업스테이지,"['딥러닝', '문서 인식 기술', '광학문자인식', '추천시스템', 'AI 소프트웨어 솔루션', 'OCR', 'AI', 'NLP', '자연어처리', '인공지능']"
75,에덴룩스,"['사물인터넷', '비전테라피', '헬스케어', '웨어러블 디바이스', '건강데이터', 'IoT', 'AI', '인공지능']"
76,에스투더블유,"['위협 인텔리전스', '디지털 남용 인텔리전스', 'AI', '사이버 위협 인텔리전스', '가상자산 인텔리전스']"
77,에어스메디컬,"['채혈', 'FastMRI', 'Wellbeing', '의료', '웰빙', '로보틱스', '의료 인공지능', '가속영상', 'fastMRI', 'AI 의료', '진단검사', '의료기기', 'MRI 가속 솔루션', 'AI', '인공지능', 'AI복원', 'MRI 영상', '딥러닝', 'MRI 촬영', '소프트웨어', 'MRI', '가속화 촬영']"
78,에이모,"['이커머스', '측정', '오디오', '데이터 라벨링 자동화', '비정형 데이터 관리', '크라우드 워커', '텍스트', '영상', 'DaaS', '데이터', '데이터 관리', 'AI Data', 'AI', '이미지', 'SaaS']"
79,에이아이트릭스,"['의료기술', '의료 솔루션', '의료기기', '의료 서비스', 'AI', '임상의사결정지원시스템', '인공지능']"
80,에이젠글로벌,"['AI 뱅킹', '금융 AI', 'AI(인공지능)금융', '금융 특화 머신러닝', '핀테크', 'AI금융', 'AI 금융서비스']"
81,오드컨셉,"['AI 스타일리스트', '응용 소프트웨어 개발', 'AI 추천', '', '패션 스타일링 솔루션', '코디 추천', '상품 추천 서비스', '딥러닝', '패션 스타일링 서비스', '비전 AI', '패션 이커머스', '상품 추천', 'AI', '자연어처리', '인공지능']"
82,오브젠,"['인공지능', 'AI', '데이터 분석', '빅데이터', 'SaaS', '상품추천', '마케팅']"
83,원프레딕트,"['예측 진단', '예측진단', '알고리즘', '산업설비', '딥러닝', '진단', '설비 진단', '산업AI', 'AI', '예측']"
84,이스트소프트,"['인공지능 음성합성', '딥러닝 알고리즘', '가상피팅커머스', 'AI 버추얼 휴먼', '버추얼 휴먼', '가상인간', '영상합성 기술', '핀테크', '실시간 가상 피팅', 'AI', '실사타입 가상인간']"
85,인공지능연구원,"['개인 맞춤형', '금융AI', 'AI 금융 솔루션', '동작인식', '로보어드바이저', '설계자동화', '자연어처리', '딥러닝', '대화엔진', '이미지처리', '음성합성 및 인식', '언어모델', 'AI', '머신러닝', '초개인화 맞춤', '금융 데이터 분석', '예측', '인공지능']"
86,인코어드테크놀로지스,"['신재생 VPP', '분산자원 통합관리', '신재생 예측 서비스', '엣지 컴퓨팅', '에너지 빅데이터', 'ESS 운전 최적화', '신재생 통합관제 시스템', '인공지능 기반 통합관제', '에너지 플래너']"
87,인터마인즈,"['Vision AI', 'AI 무인 판매', '딥러닝', '스마트 냉장고', '안심스마트점포', '무인점포', '스마트냉장고', '센서 퓨전', 'AI 캐비닛', '고객행동 시각적 인지구매', 'AI', '무인 매장', '스마트 체크아웃']"
88,인피닉,"['비식별화', '비정형사물 인식', '비전', '행동 인식', '안면인식', '학습 데이터', '데이터 보호', '정보보호', 'AI', '데이터처리', '자율주행', '개발', '자동검수', '인공지능']"
89,임프리메드,"['치료제', '암세포', '약물치료 분석', '항암제 예후예측', '혈액암', '헬스케어', '반려동물', '반려견', '암환자', '건강', '항암제 효능 예측', '항암제', '펫테크']"
90,자비스앤빌런즈,"['', '세무 자동화', '로보어드바이저', 'AI 경리사업', 'AI', '인공지능 경리사업', '인공지능']"
91,자이냅스,"['AI영상엔진', 'TV 광고', 'AI 음성', '음성 AI', '음성 합성 콘텐츠', '영상 합성 콘텐츠', '음성 바이블', 'AI 대화엔진', 'AI 음성엔진', '음성 기술', 'AI 합성음성', 'AI', '가상 음성', '인공지능', '챗봇', '가상음성', '딥러닝', '가상 음성 내비게이션', '음성 변조 기술', '데이터베이스', '자연어처리']"
92,제너레잇,"['자동화', '프롭테크', '개발 시뮬레이션', '빌딩 디자인 AI', 'AI', '인공지능']"
93,제네시스랩,"['자기소개서 분석', '앱', '디지털 정신건강', '인터렉티브', '비대면 채용 면접', 'AI 면접', '정신건강', 'AI분석', 'AI 영상면접', '인터랙티브 영상 콘텐츠', '면접자', '면접', '인터렉티브 인공지능', '채용', '자기소개서', '문서', '영상 콘텐츠', 'AI', '인공지능', '영상면접', '영상', 'HR', '인터렉티브 AI', 'AI영상 면접']"
94,제이엘케이,"['의료 인공지능', '의료', '데이터', '의료 AI', '의료기기', '의료영상진단 솔루션', '디지털헬스케어', 'AI', '뇌경색 분석 솔루션', '인공지능']"
95,지란지교시큐리티,"['문서보안', '개발', '콘텐츠 악성코드 무해화', '모바일 보안', '공급', 'UI', '문서', 'CAD', '보안', '정보보호', '랜섬웨어', '소프트웨어', '이메일', '문서 보안', 'AI', 'DWG', '메일보안']"
96,커먼컴퓨터,"['NLP', 'AIN', '서버리스 클라우드', 'DSRV', 'NFT', '헬스케어', 'AI 네트워크', '블록체인', '네트워크', 'AINFT', '클라우드', '반려견', 'AI', '머신러닝', '자연어처리', '인공지능']"
97,케이웨더,"['기상 콘텐츠', '공기지능 컨설팅', '날씨산업', '환경', '공기 모니터링 분석 제어 플랫폼', '데이터의 분석', '공기개선 서비스', 'AI', '날씨', '빅데이터', '공기질 측정 진단']"
98,코어라인소프트,"['의료영상 분석기술', '의료영상', '헬스케어', '폐암 검진 솔루션', '데이터 관리', '3D 모델링', '전처리 소프트웨어', 'AI', '흉부 진단 솔루션', '암 검출', '국가폐암검진', '의료영상 솔루션', '인공지능']"
99,콰라소프트,"['로보어드바이저', '주가 예측', '금융시장 분석 솔루션', '핀테크', '보안관제', '기업보안관제', '로보애널리스트']"
100,크라우드웍스,"['작업자-프로젝트 매칭', '자동 라벨링', '데이터바우처', '크라우드 소싱', '인력관리 기술', '데이터 라벨링', 'AI', '크라우드소싱']"
101,크래프트테크놀로지스,"['로보어드바이저', '자산관리 인공지능 로보어드바이저', '딥러닝 알고리즘 기술', '비대면 자산관리', '로보어드바이저 알고리즘', 'AI']"
102,클라리파이,"['AI', 'AI 기반 의료기기', 'CT영상 잡음제거', 'CT 잡음제거']"
103,클라썸,"['질의응답', '플랫폼', '영상', '화상', '익명', '동영상', '소통', '교육', '커뮤니티']"
104,클레온,"['챗봇', '디지털 휴먼', '딥러닝', '버추얼 휴먼', 'AI', '디지털 휴먼 솔루션', 'SaaS', '가상인간']"
105,토르드라이브,"['자동차', '도심형 자율주행차', '모빌리티', '자율주행 소프트웨어', '자율주행 모빌리티', '공항 물류', '소프트웨어', '물류 자율주행 모빌리티', '공항 물류 차량', 'AI', '자율주행 자동차', '자율주행', '무인 자율주행 자동차', '자율주행차', '하드웨어', '디지털 트윈', '인공지능']"
106,토모큐브,"['홀로토모그래피 현미경', '바이오', '의료용 체외진단장비', '생명과학', '홀로그래피 현미경', '현미경', 'AI', '영상 분석', '개발']"
107,튜링,['AI']
108,트웰브랩스,"['영상인식', '시스템 소프트웨어', '영상이해', '연구개발', '영상 이해', '인프라', '검색엔진', '영상', '투자', '영상 검색', '클라우드', '검색', '소프트웨어', 'AI', '영상검색', '개발', '인공지능']"
109,트위니,"['생산자동화', '자기위치추정', '운송로봇', '로봇', '자율주행로봇', '오더피킹 로봇', '스마트공장', '대상추종기술', '물류로봇', '대상추종로봇', '자율주행']"
110,팜캐드,"['mRNA 백신', '연구개발', 'RNA', 'LNP', '약학', '신약', '시뮬레이션', '의학', 'mRNA', '최적화', 'AI', '개발', '예측']"
111,포지큐브,"['문서 인식', 'GPU머신', '소프트웨어', 'OCR', 'AI']"
112,프렌들리에이아이,"['대규모', '자동화', 'AI 모델', '데이터', '최적화', '초거대 AI모델', '소프트웨어', '초거대 AI']"
113,플리토,"['언어 학습', '앱', '언어 AI', '언어 번역', '번역', '포털', '학습', '전문번역', '증강현실', '다국어', '외국어 번역', '텍스트', '번역엔진', '이미지', '대화형 인공지능', 'AI', '언어 데이터', '크라우드소싱', '챗봇', '대화', '대화 데이터', '음성', '데이터', '한국어', 'AI번역', '웹', '언어']"
114,한국축산데이터,"['팜스플랜', '헬스케어', '스마트 축산사업', '디지털 헬스케어', 'AI', '스마트 대장', '축산테크', '가축 헬스케어']"
115,휴레이포지티브,"['건강관리', '디지털 치료제', '헬스케어', '데이터', '임직원 건강 관리 서비스', 'EAP', '디지털 헬스케어', '원격의료', '블록체인', '소프트웨어', 'AI']"
116,휴톰,"['수술 의료 AI', '3D', '7D', '임상', '시뮬레이션', '4D', '통합 수술 AI', '가상 수술 시뮬레이션', '의료', '외과', '임상 데이터', 'AI 수술', '6D', '외과 수술', '영상 분석', '수술 영상', '수술 AI', 'AI 치료', '3차원', '의료 빅데이터', '내비게이션', '수술', 'AI', '수술 인공지능', '5D', '위암 절제술', '인공지능', '수술 영상 분석', '서지컬', '3차원 모델', '영상 자동 분석', '진단 영상', '서지컬 데이터', '수술 비디오']"
117,히츠,"['인덕션', '인공지능', '약물', '플랫폼', '신약', '스마트 코어', '클라우드', 'AI', '개발', '예측', '후보물질 선별']"
